2,2.0663738250732422e-05
3,1.948118209838867e-05
4,2.0284652709960937e-05
5,1.996278762817383e-05
6,2.1839141845703124e-05
7,2.1216869354248046e-05
8,1.9631385803222657e-05
9,2.0914077758789062e-05
10,2.221345901489258e-05
11,2.251148223876953e-05
12,2.1975040435791016e-05
13,2.0935535430908204e-05
14,2.119779586791992e-05
15,2.1524429321289063e-05
16,2.1293163299560547e-05
17,2.1891593933105467e-05
18,2.2566318511962892e-05
19,2.312898635864258e-05
20,2.1288394927978517e-05
21,2.190589904785156e-05
22,2.165555953979492e-05
23,2.2542476654052734e-05
24,2.1736621856689454e-05
25,2.3224353790283202e-05
26,2.1953582763671875e-05
27,2.2504329681396485e-05
28,2.2287368774414063e-05
29,2.3617744445800782e-05
30,2.347230911254883e-05
31,2.3987293243408203e-05
32,2.301216125488281e-05
33,2.426624298095703e-05
34,2.4378299713134766e-05
35,2.491474151611328e-05
36,2.396106719970703e-05
37,2.4771690368652345e-05
38,2.458333969116211e-05
39,2.618551254272461e-05
40,2.4561882019042968e-05
41,2.4886131286621093e-05
42,2.5756359100341797e-05
43,2.9921531677246094e-05
44,3.2656192779541015e-05
45,3.841400146484375e-05
46,2.772092819213867e-05
47,2.8712749481201174e-05
48,2.7251243591308593e-05
49,2.8722286224365234e-05
50,2.8994083404541015e-05
