2,2.4437904357910156e-06
3,1.6808509826660156e-06
4,1.6951560974121095e-06
5,1.811981201171875e-06
6,1.8048286437988282e-06
7,1.8548965454101563e-06
8,1.9025802612304689e-06
9,2.0003318786621095e-06
10,1.8644332885742188e-06
11,2.3102760314941405e-06
12,1.8262863159179688e-06
13,2.1266937255859375e-06
14,2.1028518676757813e-06
15,2.307891845703125e-06
16,2.0313262939453124e-06
17,2.307891845703125e-06
18,2.181529998779297e-06
19,2.186298370361328e-06
20,2.181529998779297e-06
21,2.5653839111328124e-06
22,2.6464462280273437e-06
23,3.0851364135742186e-06
24,2.5892257690429686e-06
25,3.1614303588867187e-06
26,3.1828880310058593e-06
27,3.5858154296875e-06
28,3.31878662109375e-06
29,3.5858154296875e-06
30,3.6787986755371093e-06
31,4.215240478515625e-06
32,3.7169456481933593e-06
33,4.045963287353515e-06
34,4.107952117919922e-06
35,4.689693450927735e-06
36,4.122257232666015e-06
37,4.8589706420898435e-06
38,5.078315734863281e-06
39,5.5193901062011715e-06
40,4.684925079345703e-06
41,5.755424499511719e-06
42,6.7305564880371095e-06
43,1.1889934539794921e-05
44,1.5616416931152344e-05
45,2.15601921081543e-05
46,6.411075592041016e-06
47,7.3528289794921875e-06
48,6.425380706787109e-06
49,7.441043853759766e-06
50,7.588863372802734e-06
